id,question,choices,answer,A,B,C,D,answer_pred,correct
TLH_005,Động cơ học tập nào được coi là bền vững và có hiệu quả nhất?,"{'A': 'Động cơ học tập vì điểm số cao.', 'B': 'Động cơ học tập vì sợ bị phạt.', 'C': 'Động cơ học tập vì hứng thú và mong muốn khám phá tri thức.', 'D': 'Động cơ học tập để được bạn bè nể phục.'}",C,Động cơ học tập vì điểm số cao.,Động cơ học tập vì sợ bị phạt.,Động cơ học tập vì hứng thú và mong muốn khám phá tri thức.,Động cơ học tập để được bạn bè nể phục.,B,0
PPDH_001,Đâu là đặc điểm cơ bản của phương pháp dạy học tích cực?,"{'A': 'Giáo viên là trung tâm, truyền thụ kiến thức một chiều.', 'B': 'Học sinh thụ động tiếp thu kiến thức.', 'C': 'Phát huy tính chủ động, sáng tạo, hợp tác của học sinh.', 'D': 'Chỉ tập trung vào kết quả cuối cùng, không quan tâm quá trình.'}",C,"Giáo viên là trung tâm, truyền thụ kiến thức một chiều.",Học sinh thụ động tiếp thu kiến thức.,"Phát huy tính chủ động, sáng tạo, hợp tác của học sinh.","Chỉ tập trung vào kết quả cuối cùng, không quan tâm quá trình.",D,0
PPDH_002,"Phương pháp dạy học nào mà trong đó học sinh thực hiện một nhiệm vụ học tập phức hợp, gắn với thực tiễn, kết hợp lý thuyết với thực hành, tạo ra các sản phẩm có thể giới thiệu?","{'A': 'Phương pháp thuyết trình.', 'B': 'Phương pháp vấn đáp.', 'C': 'Dạy học theo dự án.', 'D': 'Phương pháp luyện tập.'}",C,Phương pháp thuyết trình.,Phương pháp vấn đáp.,Dạy học theo dự án.,Phương pháp luyện tập.,B,0
PPDH_003,Kỹ thuật dạy học 'Khăn trải bàn' nhằm mục đích gì?,"{'A': 'Giúp học sinh ghi nhớ kiến thức một cách máy móc.', 'B': 'Tăng cường hoạt động cá nhân và hoạt động nhóm.', 'C': 'Chỉ dành cho các môn học xã hội.', 'D': 'Đánh giá khả năng viết của từng học sinh.'}",B,Giúp học sinh ghi nhớ kiến thức một cách máy móc.,Tăng cường hoạt động cá nhân và hoạt động nhóm.,Chỉ dành cho các môn học xã hội.,Đánh giá khả năng viết của từng học sinh.,B,1
PPDH_004,"Trong mô hình lớp học đảo ngược (Flipped Classroom), hoạt động nào thường được thực hiện ở nhà?","{'A': 'Thảo luận nhóm và giải bài tập khó.', 'B': 'Nghe giáo viên giảng bài mới qua video hoặc tài liệu.', 'C': 'Làm thí nghiệm, thực hành.', 'D': 'Trình bày dự án học tập.'}",B,Thảo luận nhóm và giải bài tập khó.,Nghe giáo viên giảng bài mới qua video hoặc tài liệu.,"Làm thí nghiệm, thực hành.",Trình bày dự án học tập.,A,0
PPDH_005,Mục đích chính của việc đặt câu hỏi trong dạy học là gì?,"{'A': 'Để kiểm tra trí nhớ của học sinh.', 'B': 'Để duy trì trật tự lớp học.', 'C': 'Kích thích tư duy, thu hút sự tham gia của học sinh.', 'D': 'Để kết thúc bài giảng nhanh hơn.'}",C,Để kiểm tra trí nhớ của học sinh.,Để duy trì trật tự lớp học.,"Kích thích tư duy, thu hút sự tham gia của học sinh.",Để kết thúc bài giảng nhanh hơn.,C,1
QLGD_001,Chức năng nào của quản lý giáo dục liên quan đến việc xác định mục tiêu và xây dựng kế hoạch hành động?,"{'A': 'Chức năng tổ chức.', 'B': 'Chức năng kế hoạch hóa.', 'C': 'Chức năng chỉ đạo.', 'D': 'Chức năng kiểm tra.'}",B,Chức năng tổ chức.,Chức năng kế hoạch hóa.,Chức năng chỉ đạo.,Chức năng kiểm tra.,B,1
QLGD_002,Phân tích SWOT trong quản lý giáo dục là phân tích các yếu tố nào?,"{'A': 'Điểm mạnh, Điểm yếu, Cơ hội, Thách thức.', 'B': 'Kế hoạch, Tổ chức, Nhân sự, Tài chính.', 'C': 'Giáo viên, Học sinh, Phụ huynh, Cộng đồng.', 'D': 'Mục tiêu, Nội dung, Phương pháp, Đánh giá.'}",A,"Điểm mạnh, Điểm yếu, Cơ hội, Thách thức.","Kế hoạch, Tổ chức, Nhân sự, Tài chính.","Giáo viên, Học sinh, Phụ huynh, Cộng đồng.","Mục tiêu, Nội dung, Phương pháp, Đánh giá.",D,0
QLGD_003,Văn hóa nhà trường được hiểu là gì?,"{'A': 'Cơ sở vật chất, trang thiết bị của nhà trường.', 'B': 'Các quy định, nội quy của nhà trường.', 'C': 'Toàn bộ các giá trị, niềm tin, chuẩn mực hành vi... đặc trưng cho một nhà trường.', 'D': 'Thành tích học tập của học sinh trong trường.'}",C,"Cơ sở vật chất, trang thiết bị của nhà trường.","Các quy định, nội quy của nhà trường.","Toàn bộ các giá trị, niềm tin, chuẩn mực hành vi... đặc trưng cho một nhà trường.",Thành tích học tập của học sinh trong trường.,C,1
QLGD_004,Hoạt động nào sau đây thuộc về quản lý chuyên môn trong nhà trường?,"{'A': 'Quản lý tài chính, tài sản.', 'B': 'Xây dựng kế hoạch tuyển sinh.', 'C': 'Tổ chức dự giờ, thăm lớp, sinh hoạt tổ chuyên môn.', 'D': 'Công tác thi đua, khen thưởng.'}",C,"Quản lý tài chính, tài sản.",Xây dựng kế hoạch tuyển sinh.,"Tổ chức dự giờ, thăm lớp, sinh hoạt tổ chuyên môn.","Công tác thi đua, khen thưởng.",D,0
QLGD_005,Cấp học nào thuộc hệ thống giáo dục quốc dân của Việt Nam?,"{'A': 'Giáo dục mầm non.', 'B': 'Giáo dục phổ thông.', 'C': 'Giáo dục đại học.', 'D': 'Cả A, B, và C.'}",D,Giáo dục mầm non.,Giáo dục phổ thông.,Giáo dục đại học.,"Cả A, B, và C.",C,0
LSGD_001,"Văn Miếu - Quốc Tử Giám, trường đại học đầu tiên của Việt Nam, được xây dựng dưới triều đại nào?","{'A': 'Triều Lý.', 'B': 'Triều Trần.', 'C': 'Triều Lê.', 'D': 'Triều Nguyễn.'}",A,Triều Lý.,Triều Trần.,Triều Lê.,Triều Nguyễn.,B,0
LSGD_002,Phong trào nào do các sĩ phu yêu nước khởi xướng vào đầu thế kỷ 20 có chủ trương mở trường học dạy theo lối mới?,"{'A': 'Phong trào Cần Vương.', 'B': 'Phong trào Đông Du.', 'C': 'Phong trào Duy Tân.', 'D': 'Phong trào Xô Viết Nghệ Tĩnh.'}",C,Phong trào Cần Vương.,Phong trào Đông Du.,Phong trào Duy Tân.,Phong trào Xô Viết Nghệ Tĩnh.,B,0
LSGD_003,Chủ tịch Hồ Chí Minh đã phát động phong trào nào ngay sau Cách mạng Tháng Tám năm 1945 để chống 'giặc dốt'?,"{'A': ""Phong trào 'Ba sẵn sàng'."", 'B': ""Phong trào 'Bình dân học vụ'."", 'C': ""Phong trào 'Nghìn việc tốt'."", 'D': ""Phong trào 'Dạy tốt, học tốt'.""}",B,Phong trào 'Ba sẵn sàng'.,Phong trào 'Bình dân học vụ'.,Phong trào 'Nghìn việc tốt'.,"Phong trào 'Dạy tốt, học tốt'.",C,0
LSGD_004,Cuộc cải cách giáo dục lớn đầu tiên của nước Việt Nam Dân chủ Cộng hòa diễn ra vào năm nào?,"{'A': '1945.', 'B': '1950.', 'C': '1956.', 'D': '1961.'}",B,1945.,1950.,1956.,1961.,A,0
LSGD_005,Chương trình giáo dục phổ thông mới của Việt Nam bắt đầu được triển khai từ năm học nào đối với lớp 1?,"{'A': '2018-2019.', 'B': '2019-2020.', 'C': '2020-2021.', 'D': '2021-2022.'}",C,2018-2019.,2019-2020.,2020-2021.,2021-2022.,D,0
KTĐG_001,Mục đích chính của đánh giá thường xuyên trong quá trình dạy học là gì?,"{'A': 'Để xếp loại học sinh cuối kỳ.', 'B': 'Để so sánh học sinh này với học sinh khác.', 'C': 'Cung cấp thông tin phản hồi để điều chỉnh việc dạy và học.', 'D': 'Để cho điểm và ghi vào sổ học bạ.'}",C,Để xếp loại học sinh cuối kỳ.,Để so sánh học sinh này với học sinh khác.,Cung cấp thông tin phản hồi để điều chỉnh việc dạy và học.,Để cho điểm và ghi vào sổ học bạ.,C,1
KTĐG_002,Đánh giá năng lực người học là tập trung vào việc:,"{'A': 'Kiểm tra khả năng ghi nhớ kiến thức lý thuyết.', 'B': 'Xem xét khả năng vận dụng kiến thức, kỹ năng vào giải quyết các tình huống thực tiễn.', 'C': 'Chấm điểm dựa trên số lượng câu trả lời đúng.', 'D': 'So sánh kết quả của học sinh với đáp án có sẵn.'}",B,Kiểm tra khả năng ghi nhớ kiến thức lý thuyết.,"Xem xét khả năng vận dụng kiến thức, kỹ năng vào giải quyết các tình huống thực tiễn.",Chấm điểm dựa trên số lượng câu trả lời đúng.,So sánh kết quả của học sinh với đáp án có sẵn.,B,1
KTĐG_003,Công cụ nào sau đây thường được sử dụng trong đánh giá quá trình?,"{'A': 'Bài thi cuối kỳ.', 'B': 'Phiếu quan sát, bảng kiểm (checklist), rubric.', 'C': 'Bằng tốt nghiệp.', 'D': 'Đề thi tuyển sinh đại học.'}",B,Bài thi cuối kỳ.,"Phiếu quan sát, bảng kiểm (checklist), rubric.",Bằng tốt nghiệp.,Đề thi tuyển sinh đại học.,D,0
KTĐG_004,Một câu hỏi trắc nghiệm được xem là có độ khó cao khi nào?,"{'A': 'Khi có nhiều học sinh trả lời đúng.', 'B': 'Khi có rất ít học sinh trả lời đúng.', 'C': 'Khi các phương án nhiễu không hợp lý.', 'D': 'Khi câu hỏi quá dài và phức tạp.'}",B,Khi có nhiều học sinh trả lời đúng.,Khi có rất ít học sinh trả lời đúng.,Khi các phương án nhiễu không hợp lý.,Khi câu hỏi quá dài và phức tạp.,A,0
KTĐG_005,'Tự đánh giá' và 'đánh giá đồng đẳng' trong học tập có ý nghĩa gì?,"{'A': 'Giúp giáo viên giảm bớt khối lượng công việc chấm bài.', 'B': 'Phát triển năng lực tự chủ, tự học và tinh thần trách nhiệm của học sinh.', 'C': 'Chỉ mang tính hình thức, không có giá trị.', 'D': 'Gây ra sự so bì, mất đoàn kết giữa các học sinh.'}",B,Giúp giáo viên giảm bớt khối lượng công việc chấm bài.,"Phát triển năng lực tự chủ, tự học và tinh thần trách nhiệm của học sinh.","Chỉ mang tính hình thức, không có giá trị.","Gây ra sự so bì, mất đoàn kết giữa các học sinh.",C,0
GDH_006,Mối quan hệ giữa giáo dục và sự phát triển kinh tế là mối quan hệ:,"{'A': 'Tác động một chiều, giáo dục quyết định kinh tế.', 'B': 'Tác động một chiều, kinh tế quyết định giáo dục.', 'C': 'Tác động qua lại, biện chứng.', 'D': 'Không có mối liên hệ nào.'}",C,"Tác động một chiều, giáo dục quyết định kinh tế.","Tác động một chiều, kinh tế quyết định giáo dục.","Tác động qua lại, biện chứng.",Không có mối liên hệ nào.,A,0
GDH_007,"Trong các lực lượng giáo dục, lực lượng nào có vai trò nền tảng, đầu tiên đối với sự hình thành nhân cách của trẻ?","{'A': 'Nhà trường.', 'B': 'Gia đình.', 'C': 'Xã hội.', 'D': 'Bạn bè.'}",B,Nhà trường.,Gia đình.,Xã hội.,Bạn bè.,A,0
GDH_008,Giáo dục theo nghĩa hẹp (quá trình dạy học và giáo dục) chủ yếu diễn ra ở đâu?,"{'A': 'Trong gia đình.', 'B': 'Ngoài xã hội.', 'C': 'Trong các cơ sở giáo dục (nhà trường).', 'D': 'Qua các phương tiện truyền thông.'}",C,Trong gia đình.,Ngoài xã hội.,Trong các cơ sở giáo dục (nhà trường).,Qua các phương tiện truyền thông.,C,1
GDH_009,Nguyên tắc đảm bảo sự thống nhất giữa lý luận và thực tiễn trong giáo dục đòi hỏi điều gì?,"{'A': 'Chỉ tập trung vào việc giảng dạy các kiến thức hàn lâm.', 'B': 'Chỉ chú trọng rèn luyện kỹ năng thực hành, xem nhẹ lý thuyết.', 'C': 'Kiến thức sách vở phải được gắn liền với cuộc sống, giúp học sinh vận dụng được vào thực tế.', 'D': 'Lý luận và thực tiễn là hai mặt tách rời nhau.'}",C,Chỉ tập trung vào việc giảng dạy các kiến thức hàn lâm.,"Chỉ chú trọng rèn luyện kỹ năng thực hành, xem nhẹ lý thuyết.","Kiến thức sách vở phải được gắn liền với cuộc sống, giúp học sinh vận dụng được vào thực tế.",Lý luận và thực tiễn là hai mặt tách rời nhau.,D,0
GDH_010,Đâu là một biểu hiện của giáo dục đạo đức?,"{'A': 'Dạy học sinh giải một bài toán khó.', 'B': 'Hướng dẫn học sinh làm thí nghiệm vật lý.', 'C': 'Tổ chức cho học sinh tham gia hoạt động tình nguyện, giúp đỡ người có hoàn cảnh khó khăn.', 'D': 'Rèn luyện kỹ năng đọc hiểu văn bản cho học sinh.'}",C,Dạy học sinh giải một bài toán khó.,Hướng dẫn học sinh làm thí nghiệm vật lý.,"Tổ chức cho học sinh tham gia hoạt động tình nguyện, giúp đỡ người có hoàn cảnh khó khăn.",Rèn luyện kỹ năng đọc hiểu văn bản cho học sinh.,C,1
TLH_006,"Theo thuyết học tập của B.F. Skinner, hành vi được củng cố và có khả năng lặp lại cao hơn khi nhận được điều gì?","{'A': 'Một hình phạt.', 'B': 'Một sự củng cố tích cực (phần thưởng).', 'C': 'Sự thờ ơ, không quan tâm.', 'D': 'Một kích thích trung tính.'}",B,Một hình phạt.,Một sự củng cố tích cực (phần thưởng).,"Sự thờ ơ, không quan tâm.",Một kích thích trung tính.,B,1
TLH_007,Sự chú ý không chủ định của học sinh thường bị thu hút bởi các đối tượng có đặc điểm gì?,"{'A': 'Quen thuộc, đơn điệu.', 'B': 'Mới lạ, hấp dẫn, có cường độ mạnh.', 'C': 'Trừu tượng, khó hiểu.', 'D': 'Không liên quan đến nhu cầu của học sinh.'}",B,"Quen thuộc, đơn điệu.","Mới lạ, hấp dẫn, có cường độ mạnh.","Trừu tượng, khó hiểu.",Không liên quan đến nhu cầu của học sinh.,D,0
TLH_008,Khủng hoảng tâm lý tuổi dậy thì là một hiện tượng:,"{'A': 'Bất thường và cần can thiệp y tế.', 'B': 'Chỉ xảy ra ở các học sinh cá biệt.', 'C': 'Mang tính quy luật, phổ biến, đánh dấu một bước phát triển mới về tâm sinh lý.', 'D': 'Hoàn toàn do ảnh hưởng tiêu cực từ môi trường xã hội.'}",C,Bất thường và cần can thiệp y tế.,Chỉ xảy ra ở các học sinh cá biệt.,"Mang tính quy luật, phổ biến, đánh dấu một bước phát triển mới về tâm sinh lý.",Hoàn toàn do ảnh hưởng tiêu cực từ môi trường xã hội.,D,0
TLH_009,"Phong cách học tập nào mô tả người học tốt nhất thông qua việc lắng nghe (giảng bài, thảo luận)?","{'A': 'Phong cách học qua thị giác (Visual).', 'B': 'Phong cách học qua thính giác (Auditory).', 'C': 'Phong cách học qua vận động (Kinesthetic).', 'D': 'Phong cách học qua đọc/viết (Reading/Writing).'}",B,Phong cách học qua thị giác (Visual).,Phong cách học qua thính giác (Auditory).,Phong cách học qua vận động (Kinesthetic).,Phong cách học qua đọc/viết (Reading/Writing).,A,0
TLH_010,"Để giúp học sinh hình thành tư duy sáng tạo, giáo viên nên:","{'A': 'Luôn đưa ra đáp án duy nhất và yêu cầu học sinh làm theo.', 'B': 'Khuyến khích học sinh đặt câu hỏi, tìm nhiều giải pháp cho một vấn đề.', 'C': 'Tránh các hoạt động đòi hỏi sự tưởng tượng.', 'D': 'Phê bình những ý tưởng khác biệt của học sinh.'}",B,Luôn đưa ra đáp án duy nhất và yêu cầu học sinh làm theo.,"Khuyến khích học sinh đặt câu hỏi, tìm nhiều giải pháp cho một vấn đề.",Tránh các hoạt động đòi hỏi sự tưởng tượng.,Phê bình những ý tưởng khác biệt của học sinh.,B,1
PPDH_006,Đâu không phải là một phương pháp dạy học tích cực?,"{'A': 'Dạy học giải quyết vấn đề.', 'B': 'Dạy học theo góc.', 'C': 'Phương pháp đọc - chép.', 'D': 'Dạy học theo hợp đồng.'}",C,Dạy học giải quyết vấn đề.,Dạy học theo góc.,Phương pháp đọc - chép.,Dạy học theo hợp đồng.,D,0
PPDH_007,"Trong dạy học, phương tiện trực quan có vai trò gì?","{'A': 'Chỉ để trang trí cho lớp học thêm sinh động.', 'B': 'Giúp cụ thể hóa kiến thức, tăng tính hấp dẫn và hiệu quả nhận thức cho học sinh.', 'C': 'Thay thế hoàn toàn lời giảng của giáo viên.', 'D': 'Chỉ cần thiết đối với cấp học mầm non.'}",B,Chỉ để trang trí cho lớp học thêm sinh động.,"Giúp cụ thể hóa kiến thức, tăng tính hấp dẫn và hiệu quả nhận thức cho học sinh.",Thay thế hoàn toàn lời giảng của giáo viên.,Chỉ cần thiết đối với cấp học mầm non.,B,1
PPDH_008,Hình thức tổ chức dạy học cơ bản và phổ biến nhất ở trường phổ thông hiện nay là gì?,"{'A': 'Dạy học theo lớp - bài.', 'B': 'Tham quan, dã ngoại.', 'C': 'Dạy học theo dự án.', 'D': 'Học tập ngoại khóa.'}",A,Dạy học theo lớp - bài.,"Tham quan, dã ngoại.",Dạy học theo dự án.,Học tập ngoại khóa.,C,0
PPDH_009,Mục tiêu của dạy học phân hóa là gì?,"{'A': 'Chia học sinh thành các lớp giỏi, khá, trung bình riêng biệt.', 'B': 'Áp dụng một phương pháp dạy học duy nhất cho tất cả học sinh.', 'C': 'Tạo điều kiện để mỗi học sinh được phát triển tối đa tiềm năng của bản thân dựa trên năng lực, sở thích cá nhân.', 'D': 'Chỉ tập trung vào việc bồi dưỡng học sinh giỏi.'}",C,"Chia học sinh thành các lớp giỏi, khá, trung bình riêng biệt.",Áp dụng một phương pháp dạy học duy nhất cho tất cả học sinh.,"Tạo điều kiện để mỗi học sinh được phát triển tối đa tiềm năng của bản thân dựa trên năng lực, sở thích cá nhân.",Chỉ tập trung vào việc bồi dưỡng học sinh giỏi.,B,0
PPDH_010,Sử dụng trò chơi học tập trong giảng dạy có tác dụng gì?,"{'A': 'Làm mất thời gian, ảnh hưởng đến tiến độ chương trình.', 'B': 'Chỉ phù hợp với học sinh tiểu học.', 'C': 'Gây mất trật tự, khó quản lý lớp học.', 'D': 'Giúp thay đổi không khí học tập, củng cố kiến thức một cách nhẹ nhàng, hứng thú.'}",D,"Làm mất thời gian, ảnh hưởng đến tiến độ chương trình.",Chỉ phù hợp với học sinh tiểu học.,"Gây mất trật tự, khó quản lý lớp học.","Giúp thay đổi không khí học tập, củng cố kiến thức một cách nhẹ nhàng, hứng thú.",D,1
QLGD_006,Ai là người chịu trách nhiệm quản lý toàn diện các hoạt động của một trường phổ thông?,"{'A': 'Tổ trưởng chuyên môn.', 'B': 'Hiệu trưởng.', 'C': 'Chủ tịch công đoàn trường.', 'D': 'Bí thư Đoàn trường.'}",B,Tổ trưởng chuyên môn.,Hiệu trưởng.,Chủ tịch công đoàn trường.,Bí thư Đoàn trường.,B,1
QLGD_007,Xã hội hóa giáo dục có nghĩa là gì?,"{'A': 'Nhà nước không còn đầu tư cho giáo dục.', 'B': 'Huy động sự tham gia, đóng góp của toàn xã hội vào sự nghiệp phát triển giáo dục.', 'C': 'Biến tất cả các trường công lập thành trường tư thục.', 'D': 'Chỉ cho phép các tổ chức xã hội tham gia vào giáo dục.'}",B,Nhà nước không còn đầu tư cho giáo dục.,"Huy động sự tham gia, đóng góp của toàn xã hội vào sự nghiệp phát triển giáo dục.",Biến tất cả các trường công lập thành trường tư thục.,Chỉ cho phép các tổ chức xã hội tham gia vào giáo dục.,D,0
QLGD_008,Kiểm định chất lượng giáo dục nhằm mục đích gì?,"{'A': 'Xếp hạng các cơ sở giáo dục để cạnh tranh.', 'B': 'Đánh giá và công nhận mức độ cơ sở giáo dục đáp ứng các tiêu chuẩn chất lượng.', 'C': 'Chỉ để kiểm tra hồ sơ, sổ sách của nhà trường.', 'D': 'Phạt các trường không đạt chuẩn.'}",B,Xếp hạng các cơ sở giáo dục để cạnh tranh.,Đánh giá và công nhận mức độ cơ sở giáo dục đáp ứng các tiêu chuẩn chất lượng.,"Chỉ để kiểm tra hồ sơ, sổ sách của nhà trường.",Phạt các trường không đạt chuẩn.,B,1
QLGD_009,Phong cách quản lý nào mà người lãnh đạo thường tự mình quyết định mọi việc và ít tham khảo ý kiến cấp dưới?,"{'A': 'Phong cách dân chủ.', 'B': 'Phong cách tự do.', 'C': 'Phong cách độc đoán, chuyên quyền.', 'D': 'Phong cách hợp tác.'}",C,Phong cách dân chủ.,Phong cách tự do.,"Phong cách độc đoán, chuyên quyền.",Phong cách hợp tác.,C,1
QLGD_010,Việc xây dựng 'Trường học hạnh phúc' hướng tới mục tiêu cốt lõi nào?,"{'A': 'Xây dựng trường có cơ sở vật chất hiện đại nhất.', 'B': 'Tạo ra môi trường giáo dục an toàn, yêu thương, tôn trọng, nơi cả giáo viên và học sinh đều cảm thấy vui vẻ, hứng thú.', 'C': 'Đạt được nhiều giải thưởng trong các kỳ thi học sinh giỏi.', 'D': 'Có 100% học sinh lên lớp.'}",B,Xây dựng trường có cơ sở vật chất hiện đại nhất.,"Tạo ra môi trường giáo dục an toàn, yêu thương, tôn trọng, nơi cả giáo viên và học sinh đều cảm thấy vui vẻ, hứng thú.",Đạt được nhiều giải thưởng trong các kỳ thi học sinh giỏi.,Có 100% học sinh lên lớp.,A,0
LSGD_006,"Nội dung 'Tiên học lễ, hậu học văn' nhấn mạnh điều gì trong giáo dục Nho học?","{'A': 'Coi trọng việc học kiến thức văn hóa hơn lễ nghĩa.', 'B': 'Coi trọng việc học lễ nghĩa, đạo đức trước khi học kiến thức.', 'C': 'Phải học đồng thời cả lễ nghĩa và văn hóa.', 'D': 'Chỉ cần học lễ nghĩa, không cần học văn hóa.'}",B,Coi trọng việc học kiến thức văn hóa hơn lễ nghĩa.,"Coi trọng việc học lễ nghĩa, đạo đức trước khi học kiến thức.",Phải học đồng thời cả lễ nghĩa và văn hóa.,"Chỉ cần học lễ nghĩa, không cần học văn hóa.",B,1
LSGD_007,Cơ quan chữ viết của người Việt được tạo ra trên cơ sở tiếp thu và cải biến chữ Hán là chữ gì?,"{'A': 'Chữ Quốc ngữ.', 'B': 'Chữ Nôm.', 'C': 'Chữ Phạn.', 'D': 'Chữ La-tinh.'}",B,Chữ Quốc ngữ.,Chữ Nôm.,Chữ Phạn.,Chữ La-tinh.,D,0
LSGD_008,Nghị quyết Trung ương 2 khóa VIII (1996) của Đảng Cộng sản Việt Nam đã xác định giáo dục và đào tạo cùng với khoa học và công nghệ là:,"{'A': 'Nhiệm vụ hàng đầu.', 'B': 'Quốc sách hàng đầu.', 'C': 'Mục tiêu hàng đầu.', 'D': 'Động lực hàng đầu.'}",B,Nhiệm vụ hàng đầu.,Quốc sách hàng đầu.,Mục tiêu hàng đầu.,Động lực hàng đầu.,A,0
LSGD_009,Trường Đông Kinh Nghĩa Thục (1907) là một mô hình giáo dục tiêu biểu cho xu hướng nào?,"{'A': 'Bảo thủ, duy trì nền giáo dục Nho học.', 'B': 'Hoàn toàn theo mô hình giáo dục của Pháp.', 'C': 'Cải cách, truyền bá tư tưởng dân chủ và khoa học kỹ thuật.', 'D': 'Chỉ tập trung dạy các môn học quân sự.'}",C,"Bảo thủ, duy trì nền giáo dục Nho học.",Hoàn toàn theo mô hình giáo dục của Pháp.,"Cải cách, truyền bá tư tưởng dân chủ và khoa học kỹ thuật.",Chỉ tập trung dạy các môn học quân sự.,A,0
LSGD_010,Luật Giáo dục hiện hành của Việt Nam được Quốc hội thông qua vào năm nào?,"{'A': '2005.', 'B': '2009.', 'C': '2015.', 'D': '2019.'}",D,2005.,2009.,2015.,2019.,D,1
KTĐG_006,Độ tin cậy của một bài kiểm tra thể hiện điều gì?,"{'A': 'Bài kiểm tra có đo lường đúng cái cần đo hay không.', 'B': 'Kết quả kiểm tra có ổn định, nhất quán khi tiến hành đo lặp lại hay không.', 'C': 'Bài kiểm tra có phù hợp với mục tiêu dạy học hay không.', 'D': 'Bài kiểm tra có dễ chấm điểm hay không.'}",B,Bài kiểm tra có đo lường đúng cái cần đo hay không.,"Kết quả kiểm tra có ổn định, nhất quán khi tiến hành đo lặp lại hay không.",Bài kiểm tra có phù hợp với mục tiêu dạy học hay không.,Bài kiểm tra có dễ chấm điểm hay không.,A,0
KTĐG_007,"Khi một bài kiểm tra đo lường được đúng những nội dung, kỹ năng cần đo thì bài kiểm tra đó có:","{'A': 'Độ khó cao.', 'B': 'Độ tin cậy cao.', 'C': 'Độ giá trị cao.', 'D': 'Độ phân biệt tốt.'}",C,Độ khó cao.,Độ tin cậy cao.,Độ giá trị cao.,Độ phân biệt tốt.,B,0
KTĐG_008,Đánh giá tổng kết (đánh giá định kỳ) thường được tiến hành vào thời điểm nào?,"{'A': 'Hàng ngày, trong mỗi tiết học.', 'B': 'Sau khi kết thúc một chương, một học kỳ hoặc một năm học.', 'C': 'Bất cứ khi nào giáo viên muốn.', 'D': 'Chỉ khi học sinh có yêu cầu.'}",B,"Hàng ngày, trong mỗi tiết học.","Sau khi kết thúc một chương, một học kỳ hoặc một năm học.",Bất cứ khi nào giáo viên muốn.,Chỉ khi học sinh có yêu cầu.,B,1
KTĐG_009,"Trong ma trận đề kiểm tra, trục ngang và trục dọc thường thể hiện điều gì?","{'A': 'Trục ngang: Mức độ nhận thức; Trục dọc: Nội dung kiến thức.', 'B': 'Trục ngang: Nội dung kiến thức; Trục dọc: Mức độ nhận thức.', 'C': 'Trục ngang: Dạng câu hỏi; Trục dọc: Thời gian làm bài.', 'D': 'Trục ngang: Số lượng câu hỏi; Trục dọc: Thang điểm.'}",B,Trục ngang: Mức độ nhận thức; Trục dọc: Nội dung kiến thức.,Trục ngang: Nội dung kiến thức; Trục dọc: Mức độ nhận thức.,Trục ngang: Dạng câu hỏi; Trục dọc: Thời gian làm bài.,Trục ngang: Số lượng câu hỏi; Trục dọc: Thang điểm.,A,0
KTĐG_010,Hình thức đánh giá bằng nhận xét thay cho điểm số đối với một số môn học ở tiểu học nhằm mục đích gì?,"{'A': 'Giảm áp lực điểm số, tập trung vào sự tiến bộ của học sinh.', 'B': 'Làm cho việc đánh giá trở nên đơn giản hơn cho giáo viên.', 'C': 'Vì học sinh tiểu học chưa biết đọc điểm số.', 'D': 'Phân loại học sinh một cách chính xác hơn.'}",A,"Giảm áp lực điểm số, tập trung vào sự tiến bộ của học sinh.",Làm cho việc đánh giá trở nên đơn giản hơn cho giáo viên.,Vì học sinh tiểu học chưa biết đọc điểm số.,Phân loại học sinh một cách chính xác hơn.,C,0
XHDH_001,Giáo dục STEM là viết tắt của các lĩnh vực nào?,"{'A': 'Khoa học, Công nghệ, Kỹ thuật, Toán học (Science, Technology, Engineering, Math).', 'B': 'Xã hội, Công nghệ, Kinh tế, Quản lý (Society, Technology, Economics, Management).', 'C': 'Khoa học, Giảng dạy, Giáo dục, Phương pháp (Science, Teaching, Education, Method).', 'D': 'Thể thao, Công nghệ, Năng lượng, Y học (Sports, Technology, Energy, Medicine).'}",A,"Khoa học, Công nghệ, Kỹ thuật, Toán học (Science, Technology, Engineering, Math).","Xã hội, Công nghệ, Kinh tế, Quản lý (Society, Technology, Economics, Management).","Khoa học, Giảng dạy, Giáo dục, Phương pháp (Science, Teaching, Education, Method).","Thể thao, Công nghệ, Năng lượng, Y học (Sports, Technology, Energy, Medicine).",A,1
XHDH_002,Học tập suốt đời (Lifelong learning) có nghĩa là gì?,"{'A': 'Chỉ học tập trong nhà trường phổ thông.', 'B': 'Quá trình học hỏi, tiếp thu kiến thức và kỹ năng diễn ra liên tục trong suốt cuộc đời của một người.', 'C': 'Bắt buộc mọi người phải đi học cho đến khi về già.', 'D': 'Chỉ dành cho những người làm công tác nghiên cứu khoa học.'}",B,Chỉ học tập trong nhà trường phổ thông.,"Quá trình học hỏi, tiếp thu kiến thức và kỹ năng diễn ra liên tục trong suốt cuộc đời của một người.",Bắt buộc mọi người phải đi học cho đến khi về già.,Chỉ dành cho những người làm công tác nghiên cứu khoa học.,A,0
